movie_name,comment_type,comment_text,tokens,rating,votes_count,is_high_vote,created_at,comment_date,time_period,comment_length,source_page,char_len,word_count,avg_sent_len,pmi_score,pos_ratio,neg_ratio
惊蛰无声,1,关于一个男人如何管不住自己的下半身导致没了后半生的海龟汤。,关于 男人 如何 管不住 下半身 导致 后半生 海龟,4,6336,1,2026-02-17 16:45:32,2026-02-17,下午,29,1,29,8,8.0,0.6310625,0.5,0.0
惊蛰无声,1,黄从头到尾除了和女特务睡了一觉也没真的干啥事，怎么就被拿捏成这样，心态这么差的人真的能在国安当领导吗,从头到尾 女特务 一觉 啥事 拿捏 心态 国安 领导,4,4077,1,2026-02-18 16:13:57,2026-02-18,下午,50,1,50,8,8.0,0.34001250000000005,0.375,0.0
惊蛰无声,1,看完了首场，还没出影院，太激动了赶紧上来给好评，节奏很好，特别适合春节档，看到最后真的肃然起敬。易烊千玺演得也太好了太厉害了,首场 没出 影院 激动 赶紧 上来 好评 节奏 特别 适合 春节 肃然起敬 易烊千玺 演得 太好了 厉害,5,3582,1,2026-02-17 10:46:02,2026-02-17,上午,62,1,62,16,8.0,0.7676499999999999,0.5625,0.0
惊蛰无声,1,看完想去垃圾桶里找手机（看过电影才知道）,完想 垃圾桶 手机,5,1036,1,2026-02-17 22:42:47,2026-02-17,晚上,20,1,20,3,3.0,-0.27876666666666666,0.0,0.0
惊蛰无声,1,平时就喜欢看犯罪推理片，而且这部还是国安指导的，结局有保证，稳稳的很安心 你期待的悬疑、反转都可以找到，剧情也足够勾人，大过年想放松一下的话，是很好的选择 张译和宋佳属于稳定输出，朱一龙很不错，这次是对杨幂有改观，火辣女间谍 片中跟着主人公去了不少深圳公厕，让我想起完美的日子东京公厕展哈哈哈哈（我去打卡了，现实中灰扑扑的，远没有电影里那么闪亮，是我滤镜太重了）。 bgm 实在不好听，而且几次出现都太突兀了，很破坏氛围,平时 喜欢 犯罪 推理片 国安 指导 结局 保证 稳稳 安心 期待 悬疑 反转 找到 剧情 足够 大过年 放松 一下 的话 选择 张译 宋佳 属于 稳定 输出 朱一龙 不错 这次 杨幂 改观 火辣 女间谍 片中 跟着 主人公 不少 深圳 公厕 想起 完美 日子 东京 公厕 哈哈哈哈 打卡 现实 灰扑扑 闪亮 滤镜 太重 bgm 实在 不好 几次 出现 突兀 破坏 氛围,4,596,1,2026-02-17 12:15:24,2026-02-17,下午,210,1,210,59,29.5,0.6571830508474577,0.423728813559322,0.05084745762711865
惊蛰无声,1,继“悬崖之上”后国师继续在类型片上稳定输出。无人机、自动驾驶、六代战机等元素让这个国安反间谍故事新瓶装旧酒，还拍出了深圳的赛博朋克感。不变的是关于隐秘战线上的无名英雄，行走在暗夜的一腔孤勇，以及信仰与背叛的殊死搏斗。大幂幂好带感，以后可以多演些反派吗爱看,悬崖之上 国师 继续 类型 片上 稳定 输出 无人机 自动 驾驶 六代 战机 元素 国安 反间谍 故事 瓶装 旧酒 拍出 深圳 赛博 朋克 不变 关于 隐秘 战线 无名英雄 行走 暗夜 一腔 孤勇 以及 信仰 背叛 殊死搏斗 大幂 带感 以后 演些 反派 爱看,4,349,1,2026-02-17 16:18:15,2026-02-17,下午,127,1,127,41,10.25,0.5896048780487807,0.36585365853658536,0.04878048780487805
惊蛰无声,1,扣一星，把插曲的人声清除掉会更好,扣一星 插曲 人声 清除 更好,4,466,1,2026-02-17 17:02:20,2026-02-17,下午,16,1,16,5,5.0,-0.2097,0.2,0.2
惊蛰无声,1,国师还是一如既往的新潮和硬，全明星的阵容也足够精彩，从没想过陈永仁和刘建明可以真的变成同一个人，这得是无间中的无间地狱吧，就是配乐用的略奇怪，镜头语言也不够统一，有明显的赶工痕迹。另外这得扔多少部华为手机才能换回姚安娜摘下口罩那一瞬啊。,国师 一如既往 新潮 全明星 阵容 足够 精彩 从没 想过 陈永仁 刘建明 变成 同一个 这得 无间 无间 地狱 配乐 奇怪 镜头 语言 不够 统一 明显 赶工 痕迹 另外 这得 多少 华为 手机 换回 姚安娜 摘下 口罩 一瞬,4,572,1,2026-02-17 10:49:27,2026-02-17,上午,118,1,118,36,18.0,0.062124999999999986,0.1388888888888889,0.1111111111111111
惊蛰无声,1,说实话都不想打开db，那几篇飘在前面的一星差评就像AI写的一样。中规中矩的电影，悬疑感是略微弱了点，因为朱一龙太早亮身份大部分人应该能猜到反转。场次的上座率很高，大部分人看的还是认真，其实更多的展示的是当前国际形势下的新斗争方式，了解一些真实案例所以觉得整体目的还是达到了。两位男主演的比较到位，杨幂基本也把角色的特质拿捏了，几场对手戏都还可以，lss基本是无效出场。。。搞不懂想表达什么。那个说为啥女特务一定穿着暴露和色诱的评论，那是量身定制的以及现实中大部分就是这种情况。感觉就是想拍又不敢拍的太暴露，比较有教育意义的电影吧,说实话 不想 打开 db 几篇 一星 差评 AI 一样 中规中矩 悬疑 感是 微弱 朱一龙 早亮 身份 大部分 反转 场次 上座率 大部分 认真 其实 展示 当前 国际形势 斗争方式 了解 一些 真实 案例 整体 目的 达到 两位 主演 比较 到位 杨幂 基本 角色 特质 拿捏 几场 对手戏 lss 基本 无效 出场 搞不懂 表达 为啥 女特务 一定 穿着 暴露 色诱 评论 量身 定制 以及 现实 大部分 情况 不敢 暴露 比较 教育 意义 电影吧,4,158,1,2026-02-19 17:51:52,2026-02-19,下午,264,1,264,70,10.0,0.46277285714285715,0.2571428571428571,0.08571428571428572
惊蛰无声,1,扮演双面身份，承受多重怀疑，接受战友背叛，进入漫长休眠。你会换掉那顶考验忠诚的帽子，凝视手机镜面时不被深渊吞噬。上级或许将调离，只能揣着秘密身份直视自己的内心。多少人钻进同一间充满诱惑的消防通道，多少人躲开天眼监控也躲开了初心。一句严迪难为你了，有如万钧力道让你守住惊蛰后的春天。,扮演 双面 身份 承受 多重 怀疑 接受 战友 背叛 进入 漫长 休眠 换掉 那顶 考验 忠诚 帽子 凝视 手机 镜面 深渊 吞噬 上级 或许 调离 只能 揣着 秘密 身份 直视 内心 多少 钻进 同一 充满 诱惑 消防通道 多少 躲开 天眼 监控 躲开 初心 一句 严迪 难为 有如 万钧 力道 守住 惊蛰 春天,4,259,1,2026-02-17 18:47:56,2026-02-17,晚上,140,1,140,52,10.4,0.3700461538461538,0.23076923076923078,0.019230769230769232
