movie_name,comment_type,comment_text,tokens,rating,votes_count,is_high_vote,created_at,comment_date,time_period,comment_length,source_page,char_len,word_count,avg_sent_len,pmi_score,pos_ratio,neg_ratio
镖人：风起大漠,1,谁写的台词我就是大沙暴啊？？？,台词 大沙暴,4,11718,1,2026-02-19 20:27:02,2026-02-19,晚上,15,1,15,2,2.0,-1.00605,0.0,0.5
镖人：风起大漠,1,不知道为什么有那么多吐槽这部电影的，这部电影就是春节档最好看的，这样的武侠片不支持，以后还能有什么动力出优秀的武侠片，我为优质的武侠片投一票,多吐槽 春节 好看 武侠片 支持 以后 动力 优秀 武侠片 优质 武侠片 投一票,5,14918,1,2026-02-17 18:16:10,2026-02-17,晚上,70,1,70,12,12.0,1.1346916666666669,0.5833333333333334,0.0
镖人：风起大漠,1,隋唐版疯狂的麦克斯,隋唐 疯狂 麦克斯,5,6984,1,2026-02-17 12:09:21,2026-02-17,下午,9,1,9,3,3.0,2.041166666666667,0.6666666666666666,0.0
镖人：风起大漠,1,看一部少一部，感觉以后都没人拍这种电影了,以后 没人,4,7519,1,2026-02-17 20:05:33,2026-02-17,晚上,20,1,20,2,2.0,1.77435,1.0,0.0
镖人：风起大漠,1,尽管影片并未能深度诠释武侠精神的浪漫内核，以及乱世中镖人对侠义的传承与嬗变（甚至老登符号也玷污了吴京的荧幕形象），但它依然是近几年质量上乘的漫改电影。影片的服化道极为精致，大场面的动作戏份量充足，火焰与沙尘的自然特效更是将打斗氛围烘托至新的高度。多BOSS的设计巧妙规避了近年动作片的短板——若单一反派带来的纠葛显得简单粗暴，便多来几个反派。男主角更是从头杀到尾，将所有能杀之人都交手个遍。,尽管 并未 深度 诠释 武侠 精神 浪漫 内核 以及 乱世 镖人 侠义 传承 嬗变 甚至 老登 符号 玷污 吴京 荧幕 形象 依然 近几年 质量上乘 漫改 服化 极为 精致 场面 动作 份量 充足 火焰 沙尘 自然 特效 更是 打斗 氛围 烘托 高度 BOSS 设计 巧妙 规避 近年 动作片 短板 单一 反派 带来 纠葛 显得 简单 粗暴 多来 几个 反派 男主角 更是 从头 杀到 所有 交手 个遍,4,5657,1,2026-02-17 11:28:36,2026-02-17,上午,195,1,195,65,16.25,0.6910369230769231,0.35384615384615387,0.06153846153846154
镖人：风起大漠,1,其实是公路片，在乏善可陈的剧作下武打戏支撑起了全片。各种冷兵器的对决与摩擦，从未见过的刀法，以及一些自然奇观的呈现都是超预期的。但故事展开时剑拔弩张的天下局势到后来变成了个人的恩怨情仇，俞白眉的剧作功底明显不足，多线叙事太过拖沓，欠缺人物的逻辑动机。梁家辉总是群戏中最亮眼的存在，少量戏份却掀起了巨大的情感波澜，实属技巧与感情兼备的优秀演员。,其实 公路 乏善可陈 剧作 武打戏 支撑 全片 各种 冷兵器 对决 摩擦 从未见过 刀法 以及 一些 自然 奇观 呈现 预期 故事 展开 剑拔弩张 天下 局势 后来 变成 个人 恩怨 情仇 俞白眉 剧作 功底 明显 不足 多线 叙事 太过 拖沓 欠缺 人物 逻辑 动机 梁家辉 总是 群戏 亮眼 存在 少量 戏份 掀起 巨大 情感 波澜 实属 技巧 感情 兼备 优秀 演员,4,4486,1,2026-02-17 11:53:03,2026-02-17,上午,171,1,171,59,14.75,0.6627694915254237,0.3050847457627119,0.03389830508474576
镖人：风起大漠,1,看完跟朋友形容：一家餐馆也许手艺有限，但就冲给大块牛肉大螃蟹大虾子堆得高高的，你也只能说厨艺要练，不会骂骗子骗钱捂脸（大意）,朋友 形容 一家 餐馆 也许 手艺 有限 大块 牛肉 螃蟹 虾子 高高的 只能 厨艺 要练 不会 骗子 骗钱 捂脸 大意,5,2947,1,2026-02-18 22:24:53,2026-02-18,晚上,62,1,62,20,20.0,0.11954000000000001,0.1,0.0
镖人：风起大漠,1,文戏是不太行，但是量也不多，再加上对原剧情的压缩，其实不太重要感觉。武戏真的很爽几乎从头到尾，就是没看过原著的会可能看不懂。没明白说不如封神2的是啥意思，封神才是什么鬼！,文戏 太行 加上 对原 剧情 压缩 其实 不太 重要 武戏 很爽 几乎 从头到尾 原著 看不懂 明白 不如 封神 啥意思 封神,4,3776,1,2026-02-17 15:46:15,2026-02-17,下午,85,1,85,20,6.666666666666667,0.04140999999999995,0.15,0.25
镖人：风起大漠,1,武侠片最后的回光返照，打戏拉满，文戏稍逊，远胜于去年的射雕。 吴京谢霆锋再续男儿本色新少林寺前缘，李连杰贡献了他生涯最后的逼格，张晋打出了杀破狼2叶问3后他最好的打戏，才补拍了11天的陈丽君在正片竟然不显得违和，于适也找到了最适合他的角色。,武侠片 回光返照 打戏 拉满 文戏 稍逊 远胜 去年 射雕 吴京 谢霆锋 再续 男儿本色 少林寺 前缘 李连杰 贡献 生涯 逼格 张晋 打出 叶问 最好 打戏 11 陈丽君 正片 竟然 显得 违和 于适 找到 适合 角色,5,4532,1,2026-02-17 12:01:57,2026-02-17,下午,120,1,120,34,17.0,0.7098441176470588,0.3235294117647059,0.0
镖人：风起大漠,1,沙暴里是不带护目镜的、箭是长眼的（会拐弯）、黑哥们的语言是通的。。。完成度非常高的强类型动作片，漫改也合格，基本全是很硬的那种打斗，嗡嗡的那种，如果对武打片兴趣不大的话就别看了，所以在2026年春节档出现一部这么强类型的电影其实有点莫名其妙，因为类型片天生无法吸引多数观众。这部电影生不逢时，希望不要赔太多，希望不会真的是最后一部拿得出手的武打动作片了，袁和平老爷子尽力了，希望能看到镖人2。亮点包括：疆普、大沙暴，各种马上打斗，各种踢掉砍掉脑袋，双锤对双鞭，这种片子不去影院看特效就白瞎了，全程在打，最后来一个天下人的天下，高度有，温情有（老莫），悲剧小丑有（和某），女汉子有、柔骨有、一大堆老中青明星也有，还要啥？,沙暴 不带 护目镜 长眼 拐弯 哥们 语言 完成度 类型 动作片 漫改 合格 基本 全是 打斗 嗡嗡 武打片 兴趣不大 的话 就别 2026 春节 出现 类型 其实 有点 莫名其妙 类型 天生 无法 吸引 多数 生不逢时 希望 不要 赔太多 希望 不会 出手 武打 动作片 袁和平 老爷子 尽力 希望 镖人 亮点 包括 疆普 大沙暴 各种 马上 打斗 各种 踢掉 砍掉 脑袋 双锤 双鞭 不去 影院 特效 全程 天下人 天下 高度 温情 老莫 悲剧 小丑 汉子 柔骨 一大堆 老中青 明星 还要,4,2878,1,2026-02-17 12:50:06,2026-02-17,下午,309,1,309,76,19.0,0.6148000000000002,0.3684210526315789,0.05263157894736842
